18					710				31.5		2000
22					710				31.5		2000
18					1400				31.5		2000
22					1400				31.5		2000
18					710				50		2000
22					710				50		2000
18					1400				50		2000
22					1400				50		2000
18					710				31.5		4000
22					710				31.5		4000
18					1400				31.5		4000
22					1400				31.5		4000
18					710				50		4000
22					710				50		4000
18					1400				50		4000
22					1400				50		4000
16					1000				40		3000
24					1000				40		3000
20					355				40		3000
20					2000				40		3000
20					1000				20		3000
20					1000				63		3000
20					1000				40		1000
20					1000				40		5000
20					1000				40		3000
